                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.7978,                 1.0408,                 0.8651,                0.94703,                0.78571,                0.90111,                0.52345,                 1.8343,                 1.3889,                 0.9102,              0.0010951,              0.0010951,              0.0010951
                     61,                 1.8385,                 1.0023,                  0.909,                0.91928,                0.91185,                0.98751,                0.54374,                  1.816,                 1.0044,                 0.9222,              0.0010895,              0.0010895,              0.0010895
                     62,                 1.9158,                 1.0827,                0.91346,                  0.919,                0.88442,                0.96464,                0.46378,                 2.0623,                 1.0595,                 0.9594,              0.0010838,              0.0010838,              0.0010838
                     63,                 1.9409,                 1.0175,                0.91702,                0.96214,                0.90296,                0.97959,                 0.5099,                  2.041,                 1.0262,                0.94533,              0.0010782,              0.0010782,              0.0010782
                     64,                 1.7806,                 1.0056,                0.87143,                0.98677,                0.82598,                 0.9589,                0.46491,                 2.1807,                 1.2793,                0.98608,              0.0010725,              0.0010725,              0.0010725
                     65,                 1.8741,                 1.0737,                 0.8954,                0.95904,                0.77767,                0.93089,                0.44506,                 2.1392,                 1.3982,                0.98409,              0.0010668,              0.0010668,              0.0010668
                     66,                 1.7914,                 1.0355,                0.88374,                0.81661,                0.64226,                0.82794,                0.41397,                 2.0806,                 1.3074,                 0.9567,              0.0010612,              0.0010612,              0.0010612
                     67,                 1.7986,                0.99468,                0.87083,                0.97374,                 0.8158,                 0.9437,                0.47697,                 1.8444,                  1.209,                0.91082,              0.0010555,              0.0010555,              0.0010555
                     68,                 1.7843,                0.96091,                 0.8769,                0.76804,                0.70133,                0.80285,                0.41948,                 1.9183,                 1.2024,                0.92143,              0.0010499,              0.0010499,              0.0010499
                     69,                 1.7883,                0.94657,                0.88487,                0.79651,                0.92857,                0.92175,                0.49046,                 1.8172,                0.97052,                0.89797,              0.0010442,              0.0010442,              0.0010442
                     70,                 1.9053,                 1.0058,                0.91256,                0.93157,                0.77042,                0.98221,                 0.5026,                 1.9298,                 1.2886,                0.92234,              0.0010385,              0.0010385,              0.0010385
                     71,                 1.8185,                0.92497,                0.88722,                0.92529,                0.73891,                0.89127,                0.49424,                 1.9311,                 1.4105,                0.93974,              0.0010329,              0.0010329,              0.0010329
                     72,                 1.8539,                 0.9999,                0.89351,                0.92744,                0.77904,                0.92236,                0.47409,                 1.8909,                 1.5126,                0.92162,              0.0010272,              0.0010272,              0.0010272
                     73,                  1.687,                0.95586,                0.86561,                0.98312,                0.77911,                0.96693,                0.55895,                 1.7125,                 1.2672,                0.88926,              0.0010216,              0.0010216,              0.0010216
                     74,                 1.7804,                0.98706,                 0.8698,                0.99318,                0.78293,                0.93852,                0.47608,                 2.0279,                 1.3714,                 0.9432,              0.0010159,              0.0010159,              0.0010159
                     75,                 1.7728,                 1.0154,                 0.8818,                      1,                0.71256,                0.96156,                0.50867,                 1.7478,                 1.2256,                0.88845,              0.0010102,              0.0010102,              0.0010102
                     76,                 1.7269,                0.96322,                0.86994,                 0.9371,                0.67726,                0.82369,                 0.4084,                 1.8712,                 1.2052,                0.90578,              0.0010046,              0.0010046,              0.0010046
                     77,                 1.9233,                0.96245,                 0.9123,                0.92146,                0.69287,                0.84812,                0.43638,                 1.7698,                 1.2453,                 0.9075,             0.00099893,             0.00099893,             0.00099893
                     78,                  1.803,                0.97781,                0.88165,                0.84075,                0.68421,                0.81401,                0.38279,                 1.7919,                 1.2828,                0.90122,             0.00099327,             0.00099327,             0.00099327
                     79,                 1.8199,                0.95847,                0.89239,                0.97693,                0.59156,                0.79741,                0.34736,                 1.9685,                 1.4788,                0.92989,             0.00098761,             0.00098761,             0.00098761
                     80,                 1.7003,                0.89007,                0.88873,                0.87175,                0.77209,                0.89281,                0.46356,                 1.8022,                 1.5778,                0.90425,             0.00098195,             0.00098195,             0.00098195
                     81,                 1.8211,                 1.0159,                0.90391,                0.87299,                0.82442,                0.94597,                0.47447,                 2.0024,                 1.2952,                0.94079,             0.00097629,             0.00097629,             0.00097629
                     82,                 1.8001,                0.93297,                0.88421,                      1,                0.84862,                0.97015,                0.47543,                 1.9647,                 1.2591,                0.92409,             0.00097063,             0.00097063,             0.00097063
                     83,                 1.8154,                0.89871,                0.90181,                0.82789,                 0.7275,                0.82382,                0.42522,                 1.9594,                 1.1979,                0.91698,             0.00096498,             0.00096498,             0.00096498
                     84,                 1.7244,                0.93157,                0.89313,                0.90104,                0.63718,                0.74817,                0.37144,                  1.908,                 1.6646,                0.91754,             0.00095932,             0.00095932,             0.00095932
                     85,                 1.7246,                0.89463,                0.89028,                0.98636,                0.60633,                0.76016,                0.36781,                 1.9341,                 1.6561,                0.91918,             0.00095366,             0.00095366,             0.00095366
                     86,                 1.7078,                0.85295,                0.86739,                0.92873,                0.75811,                0.84539,                0.42919,                 1.9471,                 1.8524,                0.92112,               0.000948,               0.000948,               0.000948
                     87,                 1.7865,                0.92753,                0.89229,                0.90643,                0.79567,                0.91054,                 0.4376,                 1.8616,                 1.4941,                0.91545,             0.00094234,             0.00094234,             0.00094234
                     88,                 1.7547,                0.88776,                0.88113,                0.84555,                0.96039,                0.91247,                0.49877,                 1.8169,                 0.9209,                0.90164,             0.00093668,             0.00093668,             0.00093668
                     89,                 1.7529,                0.85904,                0.88107,                0.99377,                0.63697,                 0.7939,                0.42452,                 1.9357,                 1.4814,                  0.925,             0.00093102,             0.00093102,             0.00093102
                     90,                 1.7439,                 0.8926,                0.89455,                0.91041,                0.60366,                0.72068,                0.40728,                 1.9422,                 1.8462,                 0.9274,             0.00092536,             0.00092536,             0.00092536
                     91,                  1.744,                0.87255,                0.86153,                0.95009,                0.60119,                0.77436,                0.40741,                 1.9327,                 1.6486,                0.92867,              0.0009197,              0.0009197,              0.0009197
                     92,                 1.6683,                0.81326,                0.86994,                0.97264,                0.63825,                0.82242,                0.39149,                 1.8306,                 1.2511,                0.90917,             0.00091405,             0.00091405,             0.00091405
                     93,                 1.6239,                0.81484,                0.87907,                0.88073,                0.61301,                0.72671,                 0.3584,                 1.9182,                 1.8031,                 0.9269,             0.00090839,             0.00090839,             0.00090839
                     94,                 1.6148,                0.90466,                0.83932,                0.79402,                0.64065,                0.75749,                0.37677,                 1.9401,                 1.6144,                0.92573,             0.00090273,             0.00090273,             0.00090273
                     95,                 1.7122,                0.86863,                0.87399,                  0.761,                0.60387,                0.65128,                0.33108,                 1.8997,                 1.7361,                0.91558,             0.00089707,             0.00089707,             0.00089707
                     96,                  1.666,                0.87232,                0.84781,                      1,                0.85039,                0.97205,                0.49863,                 1.8885,                  1.036,                0.90137,             0.00089141,             0.00089141,             0.00089141
                     97,                 1.8518,                0.90095,                0.89479,                0.86189,                0.86393,                0.91283,                0.45297,                 1.8944,                 1.1729,                0.91978,             0.00088575,             0.00088575,             0.00088575
                     98,                 1.6942,                0.81681,                0.87069,                0.70702,                0.86433,                0.94439,                0.45753,                 2.0737,                 1.4663,                 0.9454,             0.00088009,             0.00088009,             0.00088009
                     99,                 1.6782,                0.84808,                0.88515,                 0.9081,                0.75989,                0.88978,                0.48435,                 1.9622,                 1.6854,                0.92519,             0.00087443,             0.00087443,             0.00087443
                    100,                  1.556,                 0.7899,                0.83999,                0.86118,                0.80452,                0.92224,                0.42782,                 1.9114,                 1.2596,                0.91753,             0.00086877,             0.00086877,             0.00086877
                    101,                 1.7145,                0.85381,                0.88917,                0.87051,                0.78083,                 0.8658,                0.37141,                 1.9318,                 1.5846,                0.93282,             0.00086312,             0.00086312,             0.00086312
                    102,                  1.577,                0.82151,                0.86282,                0.97342,                0.80817,                 0.9554,                0.45147,                 1.8875,                 1.3369,                0.90055,             0.00085746,             0.00085746,             0.00085746
                    103,                 1.6772,                0.81656,                0.86763,                0.88692,                0.63896,                0.82863,                0.39656,                 1.9642,                 1.6193,                0.91865,              0.0008518,              0.0008518,              0.0008518
                    104,                 1.7155,                0.84133,                0.88025,                0.95217,                0.79577,                0.88851,                0.41177,                 1.9113,                 1.7155,                0.91952,             0.00084614,             0.00084614,             0.00084614
                    105,                 1.6379,                0.83411,                0.87517,                0.95665,                0.75231,                0.87364,                0.43683,                 1.8639,                 1.5419,                0.91889,             0.00084048,             0.00084048,             0.00084048
                    106,                 1.6095,                  0.843,                0.87319,                 0.9577,                0.75394,                0.91477,                0.46114,                 1.8433,                 1.5296,                  0.913,             0.00083482,             0.00083482,             0.00083482
                    107,                 1.6094,                0.80736,                 0.8656,                0.97129,                0.79089,                 0.9536,                0.47108,                 1.8206,                 1.0745,                0.91454,             0.00082916,             0.00082916,             0.00082916
                    108,                 1.6531,                0.82648,                0.86908,                0.79289,                0.79133,                0.86413,                0.45668,                 1.7484,                 1.5777,                0.90305,              0.0008235,              0.0008235,              0.0008235
                    109,                 1.6318,                0.89654,                0.81682,                0.99527,                0.82329,                0.94928,                0.49399,                 1.8118,                 1.2247,                0.90308,             0.00081785,             0.00081785,             0.00081785
                    110,                 1.6685,                0.83584,                0.85872,                0.97118,                 0.7833,                  0.928,                0.48541,                 1.8454,                  1.408,                0.90764,             0.00081219,             0.00081219,             0.00081219
                    111,                 1.6743,                0.85161,                0.86056,                0.99142,                0.76198,                0.95391,                0.42646,                 1.9115,                 1.3171,                0.92828,             0.00080653,             0.00080653,             0.00080653
                    112,                 1.6554,                0.77813,                0.87292,                      1,                0.77479,                0.97162,                0.51026,                 1.7678,                 1.2709,                0.90769,             0.00080087,             0.00080087,             0.00080087
                    113,                 1.6648,                0.79135,                0.86235,                0.81681,                0.73117,                0.87538,                0.51251,                 1.7674,                 1.1532,                 0.9253,             0.00079521,             0.00079521,             0.00079521
                    114,                 1.6346,                0.78188,                0.89255,                0.81829,                 0.6129,                0.76306,                0.41846,                 1.9525,                 1.6652,                0.95588,             0.00078955,             0.00078955,             0.00078955
                    115,                 1.6707,                0.84203,                0.88452,                      1,                0.76086,                0.91017,                0.44096,                 1.8748,                  1.483,                0.93565,             0.00078389,             0.00078389,             0.00078389
                    116,                  1.669,                0.79094,                0.84493,                0.89685,                0.62143,                0.89431,                0.44057,                 1.8111,                  1.315,                0.90278,             0.00077823,             0.00077823,             0.00077823
                    117,                 1.5146,                0.77334,                0.83251,                0.93637,                 0.5739,                0.85849,                0.47682,                 1.7247,                 1.5662,                0.90772,             0.00077257,             0.00077257,             0.00077257
                    118,                 1.5871,                0.79318,                0.88001,                0.67592,                0.75548,                0.78899,                0.42812,                 1.8256,                 1.7934,                0.92148,             0.00076692,             0.00076692,             0.00076692
                    119,                 1.5976,                0.81816,                0.87178,                0.84442,                0.63928,                0.87446,                0.50446,                 1.7262,                 1.6578,                0.91011,             0.00076126,             0.00076126,             0.00076126
                    120,                 1.6789,                0.78188,                0.88619,                      1,                0.76836,                   0.92,                0.42511,                 1.9416,                 1.7462,                0.93089,              0.0007556,              0.0007556,              0.0007556
                    121,                 1.5794,                0.76563,                0.86355,                0.85965,                0.76638,                0.88364,                0.44738,                 1.8499,                 1.6729,                0.91899,             0.00074994,             0.00074994,             0.00074994
                    122,                 1.6532,                0.79598,                0.87829,                0.97148,                0.78689,                0.92193,                0.46017,                 1.9672,                 1.5027,                0.92527,             0.00074428,             0.00074428,             0.00074428
                    123,                  1.636,                0.78317,                0.85679,                0.97188,                0.79074,                0.91851,                0.48222,                 2.0525,                 1.4088,                0.95303,             0.00073862,             0.00073862,             0.00073862
                    124,                 1.5532,                0.78217,                0.83642,                      1,                0.79392,                0.91027,                 0.4489,                 1.9746,                 1.6758,                0.93221,             0.00073296,             0.00073296,             0.00073296
                    125,                 1.5528,                0.69816,                0.87022,                0.84444,                0.68837,                0.82637,                0.41021,                 1.8526,                 1.4146,                0.90746,              0.0007273,              0.0007273,              0.0007273
                    126,                 1.5718,                0.75051,                0.85002,                      1,                0.81979,                0.97848,                0.48041,                 1.7257,                 1.3426,                0.89059,             0.00072164,             0.00072164,             0.00072164
                    127,                 1.5947,                0.76429,                 0.8549,                0.95594,                0.76917,                0.92211,                 0.4513,                 1.8788,                 1.4219,                0.91341,             0.00071599,             0.00071599,             0.00071599
                    128,                 1.5216,                0.73897,                0.86429,                      1,                 0.7556,                0.91417,                0.43638,                 1.8646,                 1.6383,                0.91589,             0.00071033,             0.00071033,             0.00071033
                    129,                 1.4939,                0.75968,                0.86003,                 0.7606,                0.77449,                0.80101,                0.41991,                 1.7853,                 1.8477,                0.90967,             0.00070467,             0.00070467,             0.00070467
                    130,                 1.4549,                0.70331,                0.82599,                0.96774,                0.74446,                0.85905,                 0.4234,                 1.8025,                 1.8863,                0.91995,             0.00069901,             0.00069901,             0.00069901
                    131,                 1.5175,                0.73505,                0.85511,                0.94998,                0.74311,                 0.8804,                0.46117,                 1.9251,                 1.9936,                0.93296,             0.00069335,             0.00069335,             0.00069335
                    132,                 1.5565,                0.71937,                0.87653,                0.98109,                0.76068,                0.87744,                0.42008,                 1.9001,                 1.9721,                0.93329,             0.00068769,             0.00068769,             0.00068769
                    133,                 1.5532,                0.70739,                0.83729,                      1,                0.77636,                0.91905,                0.48728,                  1.899,                 1.7549,                0.92168,             0.00068203,             0.00068203,             0.00068203
                    134,                  1.541,                0.70209,                0.83675,                      1,                0.77744,                0.91568,                0.44351,                 1.8716,                  1.828,                0.92451,             0.00067637,             0.00067637,             0.00067637
                    135,                 1.4612,                0.65922,                0.83596,                0.97099,                0.78266,                0.88692,                0.48683,                 1.7957,                  1.727,                0.92373,             0.00067072,             0.00067072,             0.00067072
                    136,                 1.5439,                0.74171,                0.85006,                      1,                0.80512,                0.93925,                0.44643,                 1.8645,                  1.491,                0.92716,             0.00066506,             0.00066506,             0.00066506
                    137,                 1.4716,                0.72869,                0.82628,                0.84452,                0.81134,                0.88587,                 0.4403,                 1.8448,                 1.5794,                0.92274,              0.0006594,              0.0006594,              0.0006594
                    138,                  1.534,                0.71214,                0.86394,                0.96739,                0.75599,                0.85892,                0.49242,                 1.8732,                 1.8195,                0.92518,             0.00065374,             0.00065374,             0.00065374
                    139,                 1.4597,                0.71445,                0.84363,                0.97943,                0.75625,                0.90175,                0.48868,                 1.7994,                 1.6555,                0.92073,             0.00064808,             0.00064808,             0.00064808
                    140,                 1.5147,                0.71493,                0.86158,                0.88142,                0.83316,                0.95566,                0.51126,                  1.705,                 1.3411,                0.90472,             0.00064242,             0.00064242,             0.00064242
                    141,                 1.4384,                0.67335,                0.82944,                0.98762,                0.76817,                0.85222,                0.45302,                 1.9302,                 1.9114,                0.93437,             0.00063676,             0.00063676,             0.00063676
                    142,                  1.458,                0.70947,                0.81035,                0.97797,                0.76092,                0.85826,                0.41862,                 1.9167,                 1.8356,                0.93607,              0.0006311,              0.0006311,              0.0006311
                    143,                 1.5136,                0.70278,                0.84184,                      1,                0.77544,                0.87299,                0.42284,                  1.823,                 1.7785,                0.91096,             0.00062544,             0.00062544,             0.00062544
                    144,                 1.4769,                0.68525,                0.83519,                      1,                 0.7945,                0.91841,                0.46306,                 1.7693,                  1.761,                0.89992,             0.00061979,             0.00061979,             0.00061979
                    145,                 1.4512,                0.67709,                 0.8358,                 0.9905,                0.77536,                0.87362,                0.44436,                 1.8244,                 1.9321,                0.90942,             0.00061413,             0.00061413,             0.00061413
                    146,                 1.5274,                0.71875,                0.83469,                0.99193,                0.76342,                0.83719,                 0.4221,                 1.9173,                 2.2413,                0.92559,             0.00060847,             0.00060847,             0.00060847
                    147,                 1.4962,                0.69726,                0.83408,                0.98662,                0.76775,                0.87899,                0.45429,                 1.8552,                 1.9813,                 0.9182,             0.00060281,             0.00060281,             0.00060281
                    148,                 1.4971,                0.68898,                 0.8668,                0.97192,                0.75663,                  0.878,                0.43553,                 1.9773,                   2.04,                0.94388,             0.00059715,             0.00059715,             0.00059715
                    149,                 1.4501,                0.70276,                0.83663,                0.95984,                   0.75,                 0.8173,                0.46027,                 1.8953,                 2.0789,                0.94163,             0.00059149,             0.00059149,             0.00059149
                    150,                 1.3963,                0.64855,                0.84616,                0.98456,                0.76511,                0.83015,                0.44925,                 1.9356,                 2.0367,                0.95026,             0.00058583,             0.00058583,             0.00058583
